word,category
cars,car
price,value
engine,performance
handling,performance
power,performance
rwd,options
sport,luxury
big,design
fwd,options
awd,options
money,value
speed,performance
cost,value
tires,performance
miles,performance
seats,design
torque,performance
reliability,performance
automatic,options
quality,luxury
ride,luxury
gas,performance
transmission,performance
suspension,performance
seat,design
leather,design
steering,performance
size,design
small,design
fast,performance
expensive,luxury
wheel,design
features,options
wheels,design
snow,performance
option,options
mileage,performance
weight,performance
premium,luxury
mph,performance
style,design
mpg,performance
stick,options
acceleration,performance
sound,luxury
control,performance
sporty,luxury
reliable,performance
spend,value
cheap,value
warranty,value
fuel,performance
exterior,design
handle,performance
inside,design
engines,performance
safety,performance
comfort,luxury
light,design
soft,design
prices,value
large,design
brakes,performance
full,design
comfortable,luxury
sounds,luxury
afford,value
horsepower,performance
lux,luxury
powerful,performance
winter,performance
room,design
paid,value
door,design
handles,performance
smooth,performance
body,design
space,design
paying,value
statement,luxury
pricing,value
traction,performance
clutch,options
economy,value
save,value
